(span, naps)
(dom, mod)
(gelder, redleg)
(new, wen)
(hahs, shah)
(stop, pots)
(slit, tils)
(mined, denim)
(airts, stria)
(gan, nag)
(da, ad)
(tenner, rennet)
(mils, slim)
(nimrod, dormin)
(marc, cram)
(suber, rebus)
(neve, even)
(tip, pit)
(sore, eros)
(bud, dub)
(tis, sit)
(is, si)
(leek, keel)
(speed, deeps)
(reman, namer)
(sleeps, speels)
(denier, reined)
(son, nos)
(sung, gnus)
(gals, slag)
(sera, ares)
(subah, habus)
(oohs, shoo)
(wos, sow)
(ducs, scud)
(saps, spas)
(gam, mag)
(cod, doc)
(deil, lied)
(loot, tool)
(sled, dels)
(sris, sirs)
(relaid, dialer)
(redrawer, rewarder)
(sward, draws)
(swots, stows)
(pooh, hoop)
(stellas, sallets)
(reflet, telfer)
(loons, snool)
(nus, sun)
(spiks, skips)
(dap, pad)
(now, won)
(drail, liard)
(defer, refed)
(stoped, depots)
(lira, aril)
(mura, arum)
(mis, sim)
(pools, sloop)
(saw, was)
(tup, put)
(spider, redips)
(reknit, tinker)
(darb, brad)
(pus, sup)
(trap, part)
(pat, tap)
(burg, grub)
(struts, sturts)
(leets, steel)
(tubed, debut)
(selahs, shales)
(retool, looter)
(nuts, stun)
(relit, tiler)
(hay, yah)
(teem, meet)
(sib, bis)
(anger, regna)
(cap, pac)
(seta, ates)
(wets, stew)
(evil, live)
(hey, yeh)
(raga, agar)
(semina, animes)
(imaged, degami)
(slipup, pupils)
(rag, gar)
(ajar, raja)
(snip, pins)
(serif, fires)
(lees, seel)
(dual, laud)
(tops, spot)
(reified, deifier)
(redia, aider)
(sirup, puris)
(peels, sleep)
(wat, taw)
(enol, lone)
(got, tog)
(tort, trot)
(wons, snow)
(peek, keep)
(swans, snaws)
(lin, nil)
(notes, seton)
(sate, etas)
(lager, regal)
(tab, bat)
(lived, devil)
(are, era)
(deer, reed)
(pows, swop)
(un, nu)
(oot, too)
(er, re)
(loom, mool)
(gal, lag)
(god, dog)
(nap, pan)
(pols, slop)
(redraw, warder)
(slug, guls)
(bard, drab)
(dedal, laded)
(seven, neves)
(yard, dray)
(lug, gul)
(pud, dup)
(toom, moot)
(wats, staw)
(swat, taws)
(fool, loof)
(time, emit)
(nit, tin)
(sports, strops)
(trips, spirt)
(gas, sag)
(led, del)
(tons, snot)
(deliver, reviled)
(agas, saga)
(stared, derats)
(denies, seined)
(pin, nip)
(par, rap)
(gnat, tang)
(per, rep)
(rub, bur)
(decal, laced)
(lobo, obol)
(meter, retem)
(tins, snit)
(drawer, reward)
(dahs, shad)
(get, teg)
(knaps, spank)
(swot, tows)
(redes, seder)
(wad, daw)
(rial, lair)
(seer, rees)
(loops, spool)
(flog, golf)
(port, trop)
(liar, rail)
(ya, ay)
(mures, serum)
(gat, tag)
(on, no)
(timer, remit)
(bog, gob)
(rot, tor)
(tew, wet)
(rim, mir)
(desserts, stressed)
(xis, six)
(nom, mon)
(seeks, skees)
(wolf, flow)
(pal, lap)
(ben, neb)
(doom, mood)
(skeets, steeks)
(oud, duo)
(auks, skua)
(door, rood)
(dart, trad)
(pah, hap)
(snips, spins)
(dew, wed)
(repins, sniper)
(laid, dial)
(lop, pol)
(recap, pacer)
(sum, mus)
(wop, pow)
(nab, ban)
(selah, hales)
(sexed, dexes)
(mar, ram)
(ow, wo)
(drib, bird)
(tav, vat)
(nema, amen)
(hop, poh)
(bins, snib)
(animal, lamina)
(rang, gnar)
(stink, knits)
(relive, eviler)
(mug, gum)
(ohm, mho)
